experiment,population_size,mutation_probability,elit_ratio,parents_portion,crossover_type,mutation_type,selection_type,convergence_generation,best_function_value,mean,std,min,max
1,400,0.01,0.1,0.3,segment,uniform_by_x,sigma_scaling,221,0.004538772659600454,1.5641325894283937,5.173271305265274,0.004538772659600454,38.541572591265975
2,100,0.01,0.25,0.35,two_point,uniform_by_x,linear_ranking,335,0.4165767389357171,2.72291986044126,6.500785127425647,0.4165767389357171,38.541572591265975
3,400,0.01,0.0,0.3,segment,uniform_by_center,sigma_scaling,377,0.7847273074078096,3.2398444816662946,3.0908271901202284,0.7847273074078096,38.541572591265975
4,200,0.001,0.1,0.25,uniform,uniform_by_center,stochastic,244,2.3420285180364644,5.874395725989958,7.215066970224222,2.3420285180364644,38.541572591265975
5,300,0.05,0.0,0.3,two_point,gauss_by_center,linear_ranking,176,0.0006657606751474532,0.8563645627648782,4.070725038471534,0.0006657606751474532,38.541572591265975
6,300,0.05,0.0,0.3,uniform,gauss_by_center,ranking,176,0.001504513153292919,1.192481667651563,4.474851861900707,0.001504513153292919,38.541572591265975
7,400,0.05,0.25,0.35,two_point,uniform_by_center,fully_random,178,0.00032789563960733403,1.2937880828864392,4.672416505022371,0.00032789563960733403,38.541572591265975
8,200,0.01,0.1,0.3,segment,uniform_by_center,sigma_scaling,653,0.018871090404886104,1.2018004412491567,3.1552960969766466,0.018871090404886104,38.541572591265975
9,100,0.05,0.2,0.25,one_point,uniform_by_center,sigma_scaling,288,0.00673861543185339,0.7244346167479034,3.8894482544844813,0.00673861543185339,38.541572591265975
10,400,0.001,0.0,0.3,shuffle,gauss_by_x,tournament,298,2.6363388379806416,8.52575481059117,8.945073963607383,2.6363388379806416,38.541572591265975
